term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
current_schema(),Datenbank-Begriffe / Database Terms,PostgreSQL function that returns the current default schema of the connection user. Used in schema-introspection queries as a filter (e.g. `WHERE table_schema = current_schema()`). The Oracle equivalent is `USER`; SQLite has no equivalent (uses `main`/`temp`/attached).,"Postgres-Funktion, die das aktuelle Default-Schema des Connection-Users zurueckgibt. Wird in Schema-Introspection-Queries als Filter verwendet (z.B. `WHERE table_schema = current_schema()`). Oracle-Pendant: `USER`; SQLite hat kein Pendant (verwendet `main`/`temp`/attached).",,,,
iODBC,Datenbank-Begriffe / Database Terms,"Open-source ODBC driver manager, traditionally used on macOS. Alternative to unixODBC. Both provide the same ODBC API; differences are in command-line tooling and minor config details.","Open-Source-ODBC-Driver-Manager, traditionell auf macOS verbreitet. Alternative zu unixODBC. Beide liefern die gleiche ODBC-API; Unterschiede liegen in Kommandozeilen-Tools und kleinen Config-Details.",,,,
parent_id-Pattern,Datenbank-Begriffe / Database Terms,Modelling pattern for hierarchical data: each row has an optional `parent_id` column that references the primary key of the same table. Allows arbitrarily deep trees. Simpler than nested-set or materialized-path models; sufficient for navigation-style trees of moderate depth.,"Modellierungs-Pattern fuer hierarchische Daten: jede Zeile hat eine optionale Spalte `parent_id`, die auf den Primaerschluessel der eigenen Tabelle verweist. Erlaubt beliebig tiefe Baeume. Einfacher als Nested-Set oder Materialized-Path; ausreichend fuer Navigations-Baeume moderater Tiefe.",,,,
pdf4tcl,Datenbank-Begriffe / Database Terms,"Tcl library for PDF generation. Pure-Tcl implementation. Used for reports, invoices, glossary PDFs, etc. Often vendored into applications (kept in the application's own directory) to avoid system-package dependency.","Tcl-Bibliothek fuer PDF-Erzeugung. Pure-Tcl-Implementierung. Verwendet fuer Reports, Rechnungen, Glossar-PDFs etc. Oft vendored (im Anwendungs-Verzeichnis gehalten) um System-Paket-Abhaengigkeit zu vermeiden.",,,,
pgtcl,Datenbank-Begriffe / Database Terms,"Older PostgreSQL-specific Tcl driver, predating TDBC. In current code typically replaced by `tdbc::postgres`. Still used in legacy applications.","Aelterer Postgres-spezifischer Tcl-Treiber, vor TDBC entstanden. In aktuellem Code typischerweise durch `tdbc::postgres` ersetzt. Noch in Legacy-Anwendungen im Einsatz.",,,,
rl_json,Datenbank-Begriffe / Database Terms,"Tcl library for robust JSON handling on the application side. Recommended for code that manipulates JSON beyond simple strings. Operations: get/set by JSON pointer, type-aware extraction, building documents incrementally. Faster than `tcllib::json` for non-trivial workloads.","Tcl-Bibliothek fuer robustes JSON-Handling auf Anwendungs-Seite. Empfohlen fuer Code, der JSON jenseits einfacher Strings manipuliert. Operationen: get/set per JSON-Pointer, typsichere Extraktion, inkrementelles Dokument-Bauen. Schneller als `tcllib::json` bei nicht-trivialen Workloads.",,,,
scott-Schema,Datenbank-Begriffe / Database Terms,Classic Oracle example schema with two tables: `dept` (4 departments) and `emp` (14 employees). Used since Oracle's earliest documentation for tutorials and tests. Still a useful demo profile for any DB connectivity tooling.,Klassisches Oracle-Beispiel-Schema mit zwei Tabellen: `dept` (4 Abteilungen) und `emp` (14 Mitarbeiter). Seit Oracles fruehester Dokumentation fuer Tutorials und Tests verwendet. Weiterhin ein nuetzliches Demo-Profil fuer jede DB-Konnektivitaets-Toolchain.,,,,
sqlite3 (Tcl-Paket),Datenbank-Begriffe / Database Terms,"The classic Tcl binding to SQLite, predating TDBC and offering a direct API to SQLite-specific features. Standard call: `sqlite3 db mydatabase.db; db eval ""SELECT ...""`. Supports collations, custom functions, transactions, BLOB I/O, hooks (commit, update, rollback). Used heavily in Tcl code older than ~2012; new code is split between this and `tdbc::sqlite3` (the TDBC wrapper). Direct API is closer to the SQLite C library, often faster than TDBC for SQLite-only code.","Die klassische Tcl-Bindung an SQLite, aelter als TDBC und mit direkter API zu SQLite-spezifischen Features. Standard-Aufruf: `sqlite3 db meinedatenbank.db; db eval ""SELECT ...""`. Unterstuetzt Collations, eigene Funktionen, Transaktionen, BLOB-I/O, Hooks (commit, update, rollback). In Tcl-Code aelter als ~2012 stark verbreitet; neuer Code verteilt sich zwischen dieser API und `tdbc::sqlite3` (dem TDBC-Wrapper). Direkte API ist naeher an der SQLite-C-Bibliothek, oft schneller als TDBC fuer SQLite-only-Code.",,,,
tablelist,Datenbank-Begriffe / Database Terms,"Tk extension widget for tabular and tree display. Provides more functionality than the standard `ttk::treeview` (column sorting, editable cells, cell-level coloring, embedded widgets in cells). Part of the BWidget/Tklib ecosystem. Standard tool in many production Tcl/Tk applications.","Tk-Erweiterungs-Widget fuer tabellarische und Tree-Darstellung. Bietet mehr Funktionen als das Standard-`ttk::treeview` (Spalten-Sortierung, editierbare Zellen, Zell-Faerbung, eingebettete Widgets in Zellen). Teil des BWidget/Tklib-Oekosystems. Standardwerkzeug in vielen produktiven Tcl/Tk-Anwendungen.",,,,
unixODBC,Datenbank-Begriffe / Database Terms,"Open-source ODBC driver manager, standard on most Linux distributions. Ships the `isql` CLI for DSN testing. Manages the per-user (`~/.odbc.ini`) and system (`/etc/odbc.ini`) DSN configurations.","Open-Source-ODBC-Driver-Manager, Standard auf den meisten Linux-Distributionen. Liefert die `isql`-CLI zum Test von DSNs. Verwaltet die per-User (`~/.odbc.ini`) und System (`/etc/odbc.ini`) DSN-Konfigurationen.",,,,
CRUD,Datenbank-Operationen und Patterns / Database Operations and Patterns,"Acronym for four basic database operations: **C**reate (insert new records), **R**ead (query/retrieve records), **U**pdate (modify existing records), **D**elete (remove records); fundamental pattern in database applications; in TDBC: Create=`$db execute ""INSERT...""`, Read=`$db allrows ""SELECT...""`, Update=`$db execute ""UPDATE...""`, Delete=`$db execute ""DELETE...""`; basis for most data-driven applications; REST APIs often map to CRUD (POST=Create, GET=Read, PUT/PATCH=Update, DELETE=Delete).","Akronym für vier grundlegende Datenbank-Operationen: **C**reate (neue Datensätze einfügen), **R**ead (Datensätze abfragen/abrufen), **U**pdate (existierende Datensätze ändern), **D**elete (Datensätze entfernen); fundamentales Muster in Datenbank-Anwendungen; in TDBC: Create=`$db execute ""INSERT...""`, Read=`$db allrows ""SELECT...""`, Update=`$db execute ""UPDATE...""`, Delete=`$db execute ""DELETE...""`; Basis für meiste datengetriebene Anwendungen; REST-APIs bilden oft auf CRUD ab (POST=Create, GET=Read, PUT/PATCH=Update, DELETE=Delete).",,,,
Create (CRUD),Datenbank-Operationen und Patterns / Database Operations and Patterns,"Insert new record into database; SQL: `INSERT INTO table (columns) VALUES (values)`; TDBC: `$db execute ""INSERT INTO users (name, email) VALUES (:name, :email)"" -name $name -email $email`; assigns primary key; first operation in CRUD.","Neuen Datensatz in Datenbank einfügen; SQL: `INSERT INTO table (columns) VALUES (values)`; TDBC: `$db execute ""INSERT INTO users (name, email) VALUES (:name, :email)"" -name $name -email $email`; weist Primärschlüssel zu; erste Operation in CRUD.",,,,
DELETE (SQL),Datenbank-Operationen und Patterns / Database Operations and Patterns,SQL statement removing records; syntax: `DELETE FROM table WHERE condition`; ⚠️ WARNING: without WHERE clause deletes ALL records; use transactions; CASCADE can delete related records; some prefer soft delete (marking inactive) over hard delete.,SQL-Anweisung zum Entfernen von Datensätzen; Syntax: `DELETE FROM table WHERE condition`; ⚠️ WARNUNG: ohne WHERE-Klausel werden ALLE Datensätze gelöscht; Transaktionen verwenden; CASCADE kann verwandte Datensätze löschen; einige bevorzugen Soft-Delete (als inaktiv markieren) über Hard-Delete.,,,,
Delete (CRUD),Datenbank-Operationen und Patterns / Database Operations and Patterns,"Remove records from database; SQL: `DELETE FROM table WHERE condition`; TDBC: `$db execute ""DELETE FROM users WHERE id = :id"" -id $id`; permanent operation (unless in transaction); should include WHERE clause; CASCADE deletes can affect related records.","Datensätze aus Datenbank entfernen; SQL: `DELETE FROM table WHERE condition`; TDBC: `$db execute ""DELETE FROM users WHERE id = :id"" -id $id`; permanente Operation (außer in Transaktion); sollte WHERE-Klausel enthalten; CASCADE-Löschungen können verwandte Datensätze beeinflussen.",,,,
Foreign Key,Datenbank-Operationen und Patterns / Database Operations and Patterns,Column referencing primary key in another table; establishes relationships between tables; enforces referential integrity; CASCADE options affect related records on delete/update; SQL: `FOREIGN KEY (user_id) REFERENCES users(id)`; fundamental for relational databases.,Spalte referenzierend Primärschlüssel in anderer Tabelle; etabliert Beziehungen zwischen Tabellen; erzwingt referentielle Integrität; CASCADE-Optionen beeinflussen verwandte Datensätze bei Löschen/Aktualisieren; SQL: `FOREIGN KEY (user_id) REFERENCES users(id)`; fundamental für relationale Datenbanken.,,,,
INSERT (SQL),Datenbank-Operationen und Patterns / Database Operations and Patterns,"SQL statement creating new record; syntax: `INSERT INTO table (col1, col2) VALUES (val1, val2)` or `INSERT INTO table SELECT...`; TDBC: use bind variables with `:name` syntax for safety; returns last insert ID in some databases.","SQL-Anweisung zum Erstellen neuen Datensatzes; Syntax: `INSERT INTO table (col1, col2) VALUES (val1, val2)` oder `INSERT INTO table SELECT...`; TDBC: Bind-Variablen mit `:name`-Syntax für Sicherheit verwenden; gibt letzte Insert-ID in einigen Datenbanken zurück.",,,,
ORM (Object-Relational Mapping),Datenbank-Operationen und Patterns / Database Operations and Patterns,"Technique mapping database tables to objects/classes; abstracts SQL; examples: SQLAlchemy (Python), Hibernate (Java); Tcl: TclOO objects can map to tables; simplifies CRUD operations but may sacrifice performance; automates common database tasks.","Technik zum Abbilden von Datenbank-Tabellen auf Objekte/Klassen; abstrahiert SQL; Beispiele: SQLAlchemy (Python), Hibernate (Java); Tcl: TclOO-Objekte können auf Tabellen abbilden; vereinfacht CRUD-Operationen aber kann Performance opfern; automatisiert häufige Datenbank-Aufgaben.",,,,
Primary Key,Datenbank-Operationen und Patterns / Database Operations and Patterns,"Unique identifier for database record; typically auto-incrementing integer; ensures each row uniquely identifiable; used in joins, references; SQL: `id INTEGER PRIMARY KEY`; essential for CRUD operations, especially Update and Delete.","Eindeutige Kennung für Datenbank-Datensatz; typischerweise auto-inkrementierender Integer; gewährleistet eindeutige Identifizierung jeder Zeile; verwendet in Joins, Referenzen; SQL: `id INTEGER PRIMARY KEY`; essentiell für CRUD-Operationen, besonders Update und Delete.",,,,
Read (CRUD),Datenbank-Operationen und Patterns / Database Operations and Patterns,"Retrieve records from database; SQL: `SELECT columns FROM table WHERE condition`; TDBC: `$db allrows ""SELECT * FROM users WHERE active = 1""`; most frequent operation; can include filtering, sorting, joining; returns result set.","Datensätze aus Datenbank abrufen; SQL: `SELECT columns FROM table WHERE condition`; TDBC: `$db allrows ""SELECT * FROM users WHERE active = 1""`; häufigste Operation; kann Filterung, Sortierung, Joins enthalten; gibt Ergebnismenge zurück.",,,,
SELECT (SQL),Datenbank-Operationen und Patterns / Database Operations and Patterns,"SQL statement querying data; syntax: `SELECT columns FROM table WHERE condition ORDER BY column`; supports joins, subqueries, aggregation; TDBC: `$db foreach` or `$db allrows`; most versatile SQL command.","SQL-Anweisung zum Abfragen von Daten; Syntax: `SELECT columns FROM table WHERE condition ORDER BY column`; unterstützt Joins, Subqueries, Aggregation; TDBC: `$db foreach` oder `$db allrows`; vielseitigster SQL-Befehl.",,,,
SQL Injection,Datenbank-Operationen und Patterns / Database Operations and Patterns,"Security vulnerability where malicious SQL code inserted via user input; prevented by: prepared statements, bind variables, parameterized queries; NEVER concatenate user input into SQL strings; TDBC bind variables (`:name`) prevent injection; major security risk.","Sicherheitslücke, wo bösartiger SQL-Code über Benutzereingabe eingefügt wird; verhindert durch: Prepared Statements, Bind-Variablen, parametrisierte Queries; NIEMALS Benutzereingabe in SQL-Strings konkatenieren; TDBC-Bind-Variablen (`:name`) verhindern Injection; großes Sicherheitsrisiko.",,,,
UPDATE (SQL),Datenbank-Operationen und Patterns / Database Operations and Patterns,"SQL statement modifying records; syntax: `UPDATE table SET col1=val1, col2=val2 WHERE condition`; ⚠️ WARNING: without WHERE clause updates ALL records; use transactions for safety; TDBC: prepared statements with bind variables.","SQL-Anweisung zum Ändern von Datensätzen; Syntax: `UPDATE table SET col1=val1, col2=val2 WHERE condition`; ⚠️ WARNUNG: ohne WHERE-Klausel werden ALLE Datensätze aktualisiert; Transaktionen für Sicherheit verwenden; TDBC: Prepared Statements mit Bind-Variablen.",,,,
Update (CRUD),Datenbank-Operationen und Patterns / Database Operations and Patterns,"Modify existing records; SQL: `UPDATE table SET column=value WHERE condition`; TDBC: `$db execute ""UPDATE users SET email = :email WHERE id = :id"" -email $email -id $id`; should include WHERE clause to avoid updating all records; returns number of affected rows.","Existierende Datensätze ändern; SQL: `UPDATE table SET column=value WHERE condition`; TDBC: `$db execute ""UPDATE users SET email = :email WHERE id = :id"" -email $email -id $id`; sollte WHERE-Klausel enthalten um Aktualisierung aller Datensätze zu vermeiden; gibt Anzahl betroffener Zeilen zurück.",,,,
